,population,income,house_value,rent,tract,unemployment,poverty
276,3943,17603,97600,573,08021974800,0.13,0.24
277,6452,16011,122500,740,08001007900,0.12,0.41
278,4161,32278,233000,1026,08001008401,0.11,0.08
279,7704,42771,234900,1600,08001008524,0.09,0.02
280,2487,19738,118900,1110,08001008901,0.13,0.2
281,5760,25528,164700,910,08001009603,0.1,0.18
282,4404,25011,142900,1132,08001009101,0.14,0.13
283,2914,23036,46400,857,08001009320,0.13,0.34
284,3331,25549,163300,771,08001009501,0.15,0.3
285,7989,32109,236700,1152,08001008529,0.1,0.07
286,4412,25637,146400,1195,08001009202,0.13,0.12
287,4639,22386,148400,999,08001009308,0.12,0.17
288,3621,22413,161300,895,08001009309,0.16,0.16
289,4071,26445,80800,1068,08001009322,0.13,0.19
290,4828,35101,325200,969,08001009325,0.1,0.08
291,2454,32247,194100,1048,08041004702,0.04,0.03
292,5993,22535,118000,835,08041006200,0.12,0.3
293,3616,23250,167100,791,08041001400,0.11,0.18
294,2118,20942,160300,696,08041001700,0.1,0.28
295,4260,17400,137100,627,08041001900,0.21,0.18
296,7124,20171,149400,650,08041002000,0.12,0.26
297,2673,18583,165200,692,08041002200,0.13,0.17
298,5669,25574,296600,822,08041000101,0.07,0.14
299,2348,28779,174000,775,08041000400,0.07,0.12
300,2130,29007,199600,1087,08041000500,0.1,0.19
301,4806,22750,194100,746,08041000202,0.09,0.17
302,2354,40530,501900,775,08041001000,0.01,0.07
303,4859,20486,191400,829,08031003601,0.12,0.29
304,2864,38976,337200,903,08031003701,0.05,0.1
305,4566,35641,377200,763,08031003702,0.04,0.17
306,5956,44697,348100,1174,08031004304,0.04,0.09
307,2709,30615,238100,1110,08031005001,0.06,0.21
308,4693,30527,223300,566,08031005503,0.08,0.09
309,4256,30883,262500,829,08031006814,0.06,0.07
310,4502,23381,-666666666,853,08031007006,0.13,0.27
311,4081,17267,397700,1552,08013012507,0.08,0.31
312,3470,26993,170000,956,08013013308,0.07,0.21
313,3486,21298,209500,762,08013013401,0.11,0.34
314,7805,32221,249600,1092,08013013402,0.05,0.07
315,4844,45560,843100,1566,08013012101,0.04,0.11
316,3326,24706,223300,804,08013013307,0.12,0.18
317,3766,49773,663700,1375,08013012710,0.04,0.12
318,1482,44167,673300,1451,08013013202,0.06,0.1
319,5012,23955,204400,855,08013013210,0.07,0.16
320,4932,24732,185800,928,08013013306,0.09,0.19
321,3004,35556,249600,1355,08013012907,0.05,0.05
322,1556,32346,410900,1350,08013013201,0.06,0.1
323,6292,29178,384900,1190,08013013211,0.08,0.25
324,5679,22306,169000,865,08013013503,0.1,0.27
325,3352,37351,375300,994,08013013005,0.02,0.13
326,4030,37690,438300,1288,08013013601,0.07,0.1
327,987,35400,294600,892,08013013602,0.12,0.02
328,2579,46806,742400,1157,08013012104,0.01,0.13
329,5602,30484,373000,1441,08013012105,0.05,0.11
330,3316,38889,526700,1248,08013012603,0.05,0.12
331,5690,45230,605400,1558,08013012701,0.03,0.02
332,2614,20408,505100,681,08013012707,0.08,0.13
333,1831,43750,369700,1833,08013012709,0.06,0.02
334,3546,54012,439500,1685,08013013004,0.04,0.05
335,5653,40657,378900,1261,08013013702,0.05,0.13
336,4571,31583,204700,1159,08013013305,0.05,0.11
337,5193,44891,467500,1738,08013012708,0.07,0.05
338,1686,15492,327600,1157,08013012605,0.06,0.4
339,5792,37478,223000,1509,08059011702,0.08,0.08
340,3420,32567,218500,860,08059011709,0.11,0.06
341,3544,28324,173600,918,08059011723,0.07,0.1
342,1667,43795,271800,1742,08059011725,0.03,0.03
343,3556,27046,135200,891,08059011730,0.13,0.13
344,3004,36937,289100,1006,08059011951,0.06,0.13
345,3566,35476,385500,1017,08059012026,0.11,0.09
346,3611,40811,697200,-666666666,08059012034,0.06,0.01
347,3951,33771,229800,1383,08059011708,0.03,0.05
348,5256,25826,169400,846,08059010402,0.07,0.18
349,4008,34566,247600,848,08059011711,0.11,0.07
350,704,26016,280200,663,08079973600,0.01,0.07
351,4532,30660,389600,1053,08091967600,0.1,0.07
352,4062,26812,240800,734,08103951100,0.05,0.19
353,2677,29435,160200,738,08103951200,0.03,0.11
354,6869,30732,220400,1006,08123002502,0.04,0.09
355,5084,52097,387000,1304,08005006706,0.03,0.06
356,4945,44491,363700,1231,08005006708,0.04,0.05
357,2355,36168,459500,1136,08005006854,0.03,0.06
358,5637,19287,153900,937,08001008506,0.11,0.24
359,7671,35034,190100,1169,08001008533,0.09,0.08
360,4566,33661,182900,1629,08001008534,0.07,0.01
361,5309,19239,127500,916,08001008801,0.11,0.26
362,3272,26357,52400,1164,08001009103,0.08,0.14
363,7172,33550,215800,1123,08001009204,0.03,0.05
364,6412,24392,97900,824,08001009318,0.08,0.27
365,3653,21410,35400,944,08001009321,0.03,0.16
366,3981,26447,199600,902,08001009323,0.09,0.12
367,5454,39666,271200,1163,08001009409,0.03,0.06
368,3076,41932,255300,1588,08001009411,0.06,0.03
369,4375,25219,160500,1256,08001009502,0.14,0.14
370,6999,37569,285000,1169,08001008526,0.03,0.01
371,6493,24934,154800,909,08001008606,0.05,0.13
372,5270,22842,117600,910,08001008706,0.08,0.24
373,4661,24741,106300,879,08001008802,0.16,0.2
374,5555,30299,148300,1112,08001009104,0.05,0.19
375,3829,24894,171000,1308,08001009306,0.15,0.2
376,2444,21869,52600,729,08001009319,0.07,0.24
377,3124,51525,339300,985,08001009410,0.07,0.03
378,1063,19702,27500,1252,08001008100,0.07,0.31
379,5025,52083,280700,1601,08035014108,0.05,0.03
380,3834,43875,295800,1070,08035013905,0.05,0.02
381,3204,56026,328300,1860,08035014113,0.06,0.02
382,2364,45000,564000,855,08035014602,0.03,0.03
383,4459,21452,104600,782,08005007202,0.07,0.31
384,5625,19044,121000,1069,08005007400,0.12,0.26
385,4645,24349,101800,949,08005007704,0.08,0.25
386,4836,32115,273000,891,08005005611,0.07,0.09
387,2437,36901,337600,1800,08005005624,0.09,0.05
388,3648,35250,252100,998,08005005626,0.1,0.05
389,3091,51227,309500,1401,08005005633,0.04,0.04
390,2223,44607,282500,1274,08005005800,0.06,0.03
391,2436,28534,209200,1298,08005006300,0.08,0.09
392,5032,32787,223900,790,08005007101,0.07,0.09
393,3935,23107,177100,862,08005007702,0.08,0.17
394,4870,20574,174900,962,08005007703,0.17,0.35
395,3771,38656,833200,932,08005005612,0.07,0.06
396,2629,26347,211600,724,08005006000,0.11,0.19
397,2820,26649,212100,716,08005006100,0.13,0.15
398,3979,23741,152000,929,08123002004,0.05,0.07
399,3349,42877,340900,1224,08077001600,0.06,0.09
400,7809,23903,175400,750,08077001101,0.07,0.18
401,3760,24756,236900,1070,08077001403,0.06,0.11
402,12574,27592,200300,1012,08077001501,0.07,0.15
403,4450,24613,217400,782,08077001702,0.06,0.11
404,5274,29590,286600,835,08077001900,0.06,0.1
405,4343,22173,156200,716,08077000700,0.16,0.28
406,8880,23626,162400,714,08077001301,0.13,0.29
407,4509,32027,226600,1122,08077001302,0.09,0.1
408,4178,19243,171900,923,08077000601,0.08,0.25
409,7056,31416,324900,1123,08077001502,0.08,0.06
410,5024,23073,176300,1013,08077001703,0.09,0.18
411,1476,25429,173300,627,08077000300,0.09,0.2
412,5097,20324,104200,545,08099000300,0.06,0.21
413,1302,26676,96600,818,08099000100,0.06,0.07
414,2391,13365,43400,545,08099000200,0.22,0.31
415,1404,19844,86800,525,08099000600,0.06,0.19
