,population,income,house_value,rent,state_code,county_code,tract,unemployment,poverty
1166,4726,37269,234500,1760,08,001,008534,0.02,0.01
1167,5873,24648,154000,1133,08,001,008801,0.08,0.28
1168,3918,26462,54400,1094,08,001,009103,0.04,0.12
1169,1743,15607,150000,641,08,041,002300,0.2,0.35
1170,5819,23279,196000,952,08,041,003303,0.06,0.24
1171,4289,23716,190800,812,08,041,000203,0.06,0.2
1172,3131,26483,173700,954,08,041,001104,0.08,0.13
1173,4491,40455,305100,1351,08,041,003706,0.06,0.13
1174,5057,30028,212600,1204,08,041,004701,0.05,0.06
1175,4785,25917,194100,1094,08,041,004800,0.06,0.12
1176,3599,27630,193500,1550,08,041,000102,0.08,0.09
1177,3176,29457,188200,1097,08,041,000600,0.05,0.1
1178,3376,21988,175200,761,08,041,000700,0.03,0.18
1179,6414,33475,229900,1228,08,031,012014,0.04,0.08
1180,3310,49188,436500,1265,08,031,002901,0.05,0.08
1181,5722,56359,487900,1081,08,031,003001,0.02,0.07
1182,3386,16166,435600,1294,08,031,003003,0.08,0.12
1183,3177,44688,444200,1020,08,031,003703,0.03,0.1
1184,4533,30879,203700,1251,08,031,004403,0.08,0.19
1185,3731,24511,337800,967,08,031,005104,0.05,0.24
1186,3458,43618,351800,1463,08,031,005200,0.05,0.12
1187,3833,49369,232800,1391,08,031,006812,0.03,0.07
1188,6830,22006,227400,950,08,031,008306,0.09,0.23
1189,2460,31577,276000,1296,08,031,011903,0.06,0.07
1190,5742,41761,418600,1140,08,031,000301,0.05,0.07
1191,4238,21929,190400,1011,08,031,001000,0.02,0.17
1192,3458,35638,223000,1242,08,031,001403,0.03,0.21
1193,4225,21468,167700,900,08,031,001500,0.08,0.32
1194,5878,63311,557600,1759,08,031,001701,0.03,0.15
1195,4387,57000,577900,1543,08,031,002902,0.02,0.05
1196,4603,24399,227900,1009,08,031,004101,0.11,0.24
1197,5638,28253,176200,1270,08,031,004601,0.03,0.12
1198,5485,35602,240500,1186,08,031,006810,0.04,0.05
1199,6345,35928,354400,1102,08,031,006811,0.07,0.09
1200,2018,61328,489600,1636,08,031,000501,0.03,0.06
1201,3827,50464,401100,1712,08,031,001102,0.04,0.08
1202,10639,45924,346500,1750,08,031,001600,0.03,0.17
1203,5801,38482,381000,1091,08,031,002300,0.03,0.16
1204,3170,71750,957500,1769,08,031,003203,0.02,0.03
1205,5892,40401,375800,1257,08,035,014110,0.06,0.1
1206,2902,54023,453600,1602,08,035,014109,0.04,0.01
1207,7336,40614,356200,1377,08,037,000200,0.01,0.06
1208,4518,37680,220700,1203,08,059,009834,0.07,0.05
1209,6090,33757,254200,1506,08,059,010208,0.08,0.08
1210,6362,31134,235900,1191,08,059,010209,0.03,0.09
1211,2501,24659,155700,893,08,059,010406,0.02,0.15
1212,5160,35619,327600,950,08,059,010502,0.05,0.1
1213,5983,23959,274800,943,08,059,011550,0.07,0.21
1214,3998,26427,263100,896,08,059,011601,0.08,0.2
