,population,income,house_value,rent,tract,unemployment,poverty
355,3490,52967,477900,1726,08013060801,0.03,0.05
356,5088,38225,226100,1617,08013060802,0.02,0.07
357,5361,53351,430600,1569,08013060900,0.04,0.07
358,3369,63966,717800,3501,08013061300,0.04,0.01
359,4101,57382,650200,2681,08013061400,0.02,0.02
360,3620,41522,394500,1243,08014030000,0.05,0.04
361,2426,42395,387300,1188,08014030100,0.05,0.05
362,2172,43344,328100,1791,08014030200,0.04,0.06
363,4235,41875,444700,1454,08014030300,0.01,0.06
364,4173,54205,492200,2231,08014030400,0.04,0.03
365,5703,78782,588400,2658,08014030500,0.04,0.03
366,5787,41727,345000,1978,08014030600,0.04,0.02
367,3443,54817,418100,2157,08014030700,0.01,0.05
368,6088,50940,448900,2299,08014030800,0.02,0.07
369,5796,55276,516400,1702,08014030900,0.03,0.02
370,5928,69327,569900,2083,08014031000,0.03,0.04
371,2813,54073,468100,1757,08014031101,0.09,0.07
372,1937,48571,-666666666,1989,08014031102,0.04,0.15
373,1716,48812,593200,1783,08014031103,0.0,0.04
374,1243,48450,-666666666,1861,08014031104,0.01,0.07
375,2245,54761,365400,1863,08014031201,0.02,0.13
376,2838,41028,412800,1608,08014031202,0.02,0.03
377,2736,82105,778000,-666666666,08014031300,0.03,0.0
378,1759,47619,640400,2178,08014031401,0.07,0.03
379,1259,74542,542800,1763,08014031402,0.0,0.0
380,4780,100096,681900,2843,08014031403,0.03,0.02
381,0,-666666666,-666666666,-666666666,08014980100,,
382,0,-666666666,-666666666,-666666666,08014980200,,
383,0,-666666666,-666666666,-666666666,08014980300,,
384,2475,29773,341300,1126,08015000100,0.02,0.15
385,4895,36133,454900,1359,08015000200,0.03,0.15
386,3410,39522,512900,905,08015000300,0.01,0.09
387,4429,31322,350000,1098,08015000402,0.01,0.06
388,1894,29947,452000,-666666666,08015000403,0.15,0.09
389,2333,30595,330000,1130,08015000404,0.15,0.09
390,1691,41115,157500,719,08017960600,0.03,0.11
391,2902,64955,663600,-666666666,08019014701,0.0,0.03
392,2124,45475,512100,1090,08019014702,0.07,0.02
393,1839,27813,383500,1141,08019014800,0.04,0.09
394,2562,37679,307200,1124,08019014900,0.04,0.09
395,3243,25715,101100,761,08021974800,0.07,0.22
396,4336,26761,156800,618,08021974900,0.08,0.12
397,1892,20250,155500,715,08023972600,0.09,0.25
398,1625,19613,110600,601,08023972700,0.06,0.19
399,2217,18096,69300,992,08025969601,0.04,0.19
400,3801,15904,73500,958,08025969602,0.06,0.21
401,2289,31658,294500,790,08027970101,0.04,0.06
402,2431,37213,248000,728,08027970102,0.07,0.08
403,3713,39527,296300,889,08029964600,0.04,0.09
404,4062,29966,294700,1055,08029964700,0.04,0.14
405,4180,25370,210800,763,08029964800,0.06,0.14
406,5857,29933,297500,962,08029964900,0.03,0.17
407,2359,26464,225000,955,08029965001,0.02,0.24
408,2056,28523,266300,1027,08029965002,0.01,0.17
409,3892,25784,236800,669,08029965100,0.07,0.13
410,2573,21292,190900,826,08029965201,0.11,0.22
411,2441,27175,295400,954,08029965202,0.11,0.22
412,3747,64509,585500,2100,08031000102,0.08,0.08
413,3504,34760,367700,1138,08031000201,0.04,0.08
414,4327,39491,523300,1180,08031000202,0.05,0.21
415,5383,77671,672600,1580,08031000301,0.02,0.09
416,4709,63279,603100,1427,08031000302,0.03,0.06
417,4998,61660,638700,1522,08031000303,0.03,0.07
418,3473,50825,492400,1421,08031000401,0.03,0.08
419,3680,56333,630700,2004,08031000403,0.01,0.04
420,2423,64375,527000,1824,08031000404,0.09,0.12
421,2087,70455,671700,1964,08031000501,0.04,0.09
422,2573,50454,633000,516,08031000503,0.04,0.3
423,3354,54477,590400,1518,08031000504,0.03,0.05
424,3795,70045,617500,1508,08031000600,0.04,0.13
425,2119,39606,543400,1335,08031000703,0.07,0.09
426,3273,50351,598300,1331,08031000704,0.04,0.1
427,2597,47734,595200,1239,08031000705,0.03,0.15
428,2397,59798,607300,1544,08031000706,0.02,0.03
429,1133,12604,535700,239,08031000800,0.31,0.78
430,5282,31828,333200,1443,08031000902,0.04,0.04
431,5906,25394,323200,1445,08031000903,0.06,0.22
432,5143,22037,351800,1118,08031000904,0.12,0.29
433,3716,30698,347400,1772,08031000905,0.05,0.25
434,4293,24398,324000,618,08031001000,0.03,0.2
435,2641,40047,491300,1530,08031001101,0.05,0.21
436,5145,61951,632900,1872,08031001102,0.03,0.07
437,5082,36936,382200,1309,08031001301,0.08,0.14
438,3770,36394,340200,1379,08031001302,0.07,0.19
439,5362,25987,343800,852,08031001401,0.04,0.18
440,4584,27178,337800,1537,08031001402,0.04,0.2
441,3339,48645,434000,1697,08031001403,0.04,0.09
442,4005,29523,357600,1341,08031001500,0.07,0.21
443,2633,70860,595100,1911,08031001601,0.06,0.1
444,4570,64263,410800,1863,08031001602,0.03,0.05
445,5816,49230,519000,1745,08031001603,0.09,0.24
446,3113,66215,710300,2176,08031001703,0.02,0.06
447,2397,55804,676300,1354,08031001704,0.04,0.21
448,3118,78686,868700,2223,08031001705,0.02,0.05
449,2191,49988,593100,1777,08031001706,0.08,0.13
450,2440,42500,496200,1655,08031001707,0.02,0.28
451,3195,36074,391700,1254,08031001800,0.08,0.22
452,3371,33389,521400,1431,08031001901,0.05,0.28
453,2812,78151,690600,1959,08031002000,0.03,0.09
454,3408,53302,464700,1389,08031002101,0.03,0.11
455,3030,57899,511200,1713,08031002102,0.0,0.04
456,4793,62511,516200,922,08031002300,0.02,0.1
457,1949,43472,596400,996,08031002402,0.04,0.1
458,1353,49219,617500,1626,08031002404,0.0,0.19
459,3900,51182,550200,1471,08031002405,0.08,0.21
460,2907,59232,456600,1735,08031002602,0.02,0.1
461,2415,70986,400600,1801,08031002603,0.01,0.02
462,1973,24391,-666666666,934,08031002604,0.05,0.24
463,1997,32818,-666666666,1133,08031002704,0.05,0.11
464,2733,42379,271600,1361,08031002705,0.02,0.16
465,3061,55431,444600,1439,08031002706,0.02,0.09
466,3320,60671,369800,1561,08031002707,0.08,0.07
467,2531,51211,267400,1169,08031002708,0.01,0.07
468,2478,46388,261600,1273,08031002709,0.06,0.08
469,2854,61360,511700,1599,08031002801,0.01,0.07
470,4356,52843,467500,1313,08031002802,0.05,0.11
471,1964,57194,365900,1335,08031002804,0.01,0.07
472,2808,65083,534400,1575,08031002805,0.01,0.02
473,3465,56425,539900,1650,08031002901,0.03,0.08
474,3917,66587,763700,1684,08031002902,0.05,0.05
475,2713,53535,593000,1671,08031003002,0.04,0.08
476,3136,31360,591000,1568,08031003003,0.06,0.12
477,6786,42079,587600,1346,08031003004,0.06,0.07
478,3120,81858,663000,2439,08031003005,0.03,0.06
479,3493,66859,708200,1861,08031003006,0.01,0.08
480,1672,50086,655600,1287,08031003101,0.02,0.11
481,3754,45644,637900,1137,08031003102,0.03,0.16
482,3432,49163,416700,1559,08031003202,0.04,0.07
483,3242,110435,1238500,1694,08031003203,0.03,0.02
484,2279,35988,381100,1293,08031003204,0.09,0.08
485,3237,58148,465300,1369,08031003205,0.07,0.1
486,3311,75617,764900,1795,08031003300,0.03,0.04
487,2555,84049,651300,2311,08031003401,0.02,0.08
488,4747,81135,940900,2680,08031003402,0.05,0.02
489,3070,26076,324100,1220,08031003501,0.04,0.26
490,3642,32736,295300,1217,08031003502,0.03,0.11
491,4498,41289,455800,1352,08031003601,0.06,0.15
492,4439,46563,428400,1236,08031003602,0.07,0.24
493,3421,49078,538700,1714,08031003603,0.03,0.11
494,3591,55062,630200,1232,08031003701,0.01,0.1
495,5027,46632,595300,1314,08031003702,0.04,0.1
496,3107,56132,593800,1288,08031003703,0.03,0.16
497,2959,61385,691800,1729,08031003801,0.03,0.05
498,3469,95500,1016800,2326,08031003802,0.07,0.04
499,4869,65470,915700,2090,08031003901,0.03,0.07
500,4215,75885,723700,1995,08031003902,0.05,0.05
501,3325,56403,771300,2097,08031004002,0.01,0.03
502,4869,62488,443800,2129,08031004003,0.04,0.03
503,1890,46887,512600,1902,08031004004,0.02,0.08
504,3090,39664,466700,1466,08031004005,0.04,0.15
505,4586,51365,861100,1641,08031004006,0.04,0.13
506,4605,39002,372800,1254,08031004101,0.03,0.16
507,4404,27427,422200,1729,08031004102,0.1,0.18
508,6380,61333,650600,2008,08031004103,0.04,0.04
509,5174,56291,457600,2020,08031004104,0.06,0.12
510,7761,91607,633400,2582,08031004108,0.04,0.02
511,2332,90868,671200,-666666666,08031004109,0.0,0.01
512,5018,66977,692100,1090,08031004110,0.08,0.03
