,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
3202,0.0,12.0,27.0,51.0,75.0,99.0,123.0,147.0,0.0,12.0,24.0,36.0,48.0,65.0,77.0,89.0,236.0
968300,0.0,12.0,24.0,36.0,48.0,54.0,59.0,71.0,0.0,12.0,24.0,36.0,48.0,54.0,74.0,109.0,180.0
960100,0.0,24.0,48.0,72.0,96.0,120.0,144.0,165.0,,,,,,,,,
6814,0.0,2.0,,,,3.0,15.0,21.0,0.0,,,,,,,,21.0
1302,0.0,12.0,42.0,78.0,114.0,162.0,188.0,207.0,0.0,12.0,42.0,78.0,114.0,162.0,188.0,207.0,414.0
15800,0.0,12.0,30.0,45.0,57.0,69.0,81.0,93.0,0.0,,6.0,18.0,30.0,42.0,59.0,85.0,178.0
2602,1.0,2.0,5.0,20.0,52.0,70.0,82.0,94.0,1.0,2.0,5.0,20.0,52.0,70.0,82.0,94.0,188.0
403,4.0,12.0,15.0,27.0,39.0,51.0,63.0,75.0,0.0,4.0,7.0,19.0,31.0,43.0,55.0,67.0,142.0
6400,11.0,23.0,31.0,39.0,55.0,67.0,79.0,91.0,,,,,,,,,
1705,0.0,,3.0,15.0,27.0,39.0,51.0,62.0,,,3.0,15.0,27.0,39.0,51.0,62.0,124.0
12701,9.0,21.0,33.0,45.0,57.0,69.0,81.0,93.0,9.0,21.0,33.0,45.0,57.0,69.0,81.0,93.0,186.0
705,0.0,12.0,24.0,36.0,56.0,74.0,86.0,98.0,0.0,12.0,24.0,36.0,56.0,74.0,86.0,98.0,196.0
11904,8.0,68.0,125.0,173.0,215.0,250.0,274.0,292.0,8.0,20.0,32.0,44.0,56.0,68.0,80.0,97.0,389.0
4601,0.0,26.0,44.0,68.0,92.0,116.0,140.0,162.0,0.0,24.0,42.0,66.0,90.0,114.0,141.0,175.0,337.0
2920,0.0,4.0,16.0,28.0,40.0,60.0,84.0,107.0,0.0,4.0,19.0,43.0,67.0,122.0,197.0,273.0,380.0
4113,0.0,12.0,24.0,36.0,48.0,57.0,59.0,70.0,,,,,,,,,
