,population,income,house_value,rent,tract,unemployment,poverty,tract_str,tract_str_last6,2014_med,2015_med,2016_med,2017_med,2018_med,2019_med,2020_med,2021_med,2014_rec,2015_rec,2016_rec,2017_rec,2018_rec,2019_rec,2020_rec,2021_rec,total
445,5816,49230,519000,1745,1603,0.09,0.24,8031001603,001603,9.0,51.0,111.0,177.0,229.0,267.0,312.0,372.0,5.0,56.0,125.0,205.0,281.0,354.0,423.0,494.0,866.0
446,3113,66215,710300,2176,1703,0.02,0.06,8031001703,001703,,,,,,,,,,,,,,,,,0.0
447,2397,55804,676300,1354,1704,0.04,0.21,8031001704,001704,0.0,24.0,48.0,69.0,81.0,106.0,142.0,178.0,0.0,24.0,48.0,69.0,81.0,106.0,142.0,181.0,359.0
448,3118,78686,868700,2223,1705,0.02,0.05,8031001705,001705,0.0,,3.0,15.0,27.0,39.0,51.0,62.0,,,3.0,15.0,27.0,39.0,51.0,62.0,124.0
449,2191,49988,593100,1777,1706,0.08,0.13,8031001706,001706,,,,,0.0,,,,0.0,12.0,24.0,39.0,63.0,87.0,111.0,133.0,133.0
450,2440,42500,496200,1655,1707,0.02,0.28,8031001707,001707,,,,,,,,,,,,,,,,,0.0
451,3195,36074,391700,1254,1800,0.08,0.22,8031001800,001800,0.0,24.0,48.0,72.0,96.0,120.0,144.0,166.0,0.0,36.0,75.0,116.0,176.0,232.0,283.0,339.0,505.0
452,3371,33389,521400,1431,1901,0.05,0.28,8031001901,001901,0.0,12.0,27.0,51.0,75.0,99.0,123.0,147.0,,,3.0,15.0,27.0,39.0,51.0,76.0,223.0
453,2812,78151,690600,1959,2000,0.03,0.09,8031002000,002000,4.0,144.0,254.0,386.0,516.0,631.0,734.0,801.0,4.0,68.0,119.0,167.0,221.0,275.0,319.0,355.0,1156.0
454,3408,53302,464700,1389,2101,0.03,0.11,8031002101,002101,9.0,93.0,192.0,297.0,417.0,550.0,712.0,867.0,,,,,8.0,16.0,28.0,40.0,907.0
455,3030,57899,511200,1713,2102,0.0,0.04,8031002102,002102,5.0,87.0,222.0,388.0,554.0,696.0,814.0,923.0,0.0,26.0,74.0,158.0,242.0,324.0,378.0,445.0,1368.0
456,4793,62511,516200,922,2300,0.02,0.1,8031002300,002300,9.0,47.0,98.0,173.0,271.0,369.0,477.0,556.0,0.0,2.0,,,,,,,558.0
457,1949,43472,596400,996,2402,0.04,0.1,8031002402,002402,0.0,24.0,51.0,78.0,98.0,122.0,146.0,164.0,,,,,,,,,0.0
458,1353,49219,617500,1626,2404,0.0,0.19,8031002404,002404,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
459,3900,51182,550200,1471,2405,0.08,0.21,8031002405,002405,,,,,,,,10.0,,,,,,,,10.0,20.0
460,2907,59232,456600,1735,2602,0.02,0.1,8031002602,002602,1.0,2.0,5.0,20.0,52.0,70.0,82.0,94.0,1.0,2.0,5.0,20.0,52.0,70.0,82.0,94.0,188.0
461,2415,70986,400600,1801,2603,0.01,0.02,8031002603,002603,,,,,,,,,,,,,,,,,0.0
462,1973,24391,-666666666,934,2604,0.05,0.24,8031002604,002604,,,,,,,,,,,,,,,,,0.0
463,1997,32818,-666666666,1133,2704,0.05,0.11,8031002704,002704,8.0,20.0,32.0,44.0,56.0,68.0,80.0,92.0,8.0,20.0,32.0,44.0,56.0,69.0,93.0,111.0,203.0
464,2733,42379,271600,1361,2705,0.02,0.16,8031002705,002705,,,,,,,,,,,,,,,,,0.0
465,3061,55431,444600,1439,2706,0.02,0.09,8031002706,002706,11.0,59.0,107.0,155.0,203.0,251.0,299.0,341.0,11.0,63.0,111.0,159.0,207.0,255.0,308.0,353.0,694.0
466,3320,60671,369800,1561,2707,0.08,0.07,8031002707,002707,,,,,,,,,,,,,,,,,0.0
467,2531,51211,267400,1169,2708,0.01,0.07,8031002708,002708,,,,,,,,,,,,,,,,,0.0
468,2478,46388,261600,1273,2709,0.06,0.08,8031002709,002709,,,,,,,,,,,,,,,,,0.0
469,2854,61360,511700,1599,2801,0.01,0.07,8031002801,002801,0.0,15.0,39.0,75.0,109.0,134.0,159.0,191.0,0.0,15.0,39.0,63.0,85.0,98.0,111.0,132.0,323.0
470,4356,52843,467500,1313,2802,0.05,0.11,8031002802,002802,0.0,36.0,84.0,144.0,208.0,280.0,340.0,397.0,0.0,12.0,48.0,84.0,120.0,156.0,184.0,214.0,611.0
471,1964,57194,365900,1335,2804,0.01,0.07,8031002804,002804,,,,,4.0,16.0,28.0,31.0,,,,,4.0,18.0,42.0,56.0,87.0
472,2808,65083,534400,1575,2805,0.01,0.02,8031002805,002805,,,,,,,,,,,,,,,,,0.0
473,3465,56425,539900,1650,2901,0.03,0.08,8031002901,002901,0.0,64.0,151.0,243.0,333.0,422.0,488.0,536.0,0.0,50.0,113.0,185.0,257.0,329.0,392.0,440.0,976.0
474,3917,66587,763700,1684,2902,0.05,0.05,8031002902,002902,0.0,16.0,28.0,40.0,52.0,64.0,76.0,98.0,,,,,,,,,0.0
475,2713,53535,593000,1671,3002,0.04,0.08,8031003002,003002,0.0,14.0,41.0,89.0,133.0,164.0,176.0,196.0,0.0,14.0,41.0,89.0,133.0,175.0,214.0,270.0,466.0
476,3136,31360,591000,1568,3003,0.06,0.12,8031003003,003003,,,,,,,,,,,,,,,,,0.0
477,6786,42079,587600,1346,3004,0.06,0.07,8031003004,003004,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
478,3120,81858,663000,2439,3005,0.03,0.06,8031003005,003005,0.0,12.0,27.0,54.0,80.0,92.0,104.0,116.0,0.0,12.0,27.0,54.0,80.0,92.0,104.0,116.0,232.0
479,3493,66859,708200,1861,3006,0.01,0.08,8031003006,003006,0.0,36.0,84.0,131.0,175.0,219.0,258.0,302.0,0.0,36.0,84.0,131.0,175.0,219.0,255.0,291.0,593.0
480,1672,50086,655600,1287,3101,0.02,0.11,8031003101,003101,,,,,,,,,,,,,,,,,0.0
481,3754,45644,637900,1137,3102,0.03,0.16,8031003102,003102,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,0.0,12.0,24.0,36.0,48.0,60.0,72.0,84.0,168.0
482,3432,49163,416700,1559,3202,0.04,0.07,8031003202,003202,0.0,12.0,27.0,51.0,75.0,99.0,123.0,147.0,0.0,12.0,24.0,36.0,48.0,65.0,77.0,89.0,236.0
483,3242,110435,1238500,1694,3203,0.03,0.02,8031003203,003203,,,,,,,,,,,,,,,,,0.0
484,2279,35988,381100,1293,3204,0.09,0.08,8031003204,003204,0.0,12.0,36.0,60.0,84.0,108.0,135.0,163.0,0.0,12.0,36.0,60.0,84.0,108.0,132.0,149.0,312.0
485,3237,58148,465300,1369,3205,0.07,0.1,8031003205,003205,,,,,,,,,,,,,,,,,0.0
486,3311,75617,764900,1795,3300,0.03,0.04,8031003300,003300,,,,,,,,,,,,,,,,,0.0
487,2555,84049,651300,2311,3401,0.02,0.08,8031003401,003401,1.0,25.0,49.0,73.0,97.0,121.0,143.0,154.0,,,,,,,,,0.0
488,4747,81135,940900,2680,3402,0.05,0.02,8031003402,003402,0.0,12.0,24.0,36.0,41.0,,,,,,,,,,8.0,,49.0
489,3070,26076,324100,1220,3501,0.04,0.26,8031003501,003501,4.0,80.0,164.0,243.0,339.0,417.0,489.0,541.0,4.0,80.0,179.0,270.0,378.0,467.0,539.0,591.0,1132.0
490,3642,32736,295300,1217,3502,0.03,0.11,8031003502,003502,0.0,12.0,36.0,60.0,84.0,108.0,120.0,129.0,0.0,12.0,24.0,36.0,52.0,76.0,91.0,117.0,246.0
491,4498,41289,455800,1352,3601,0.06,0.15,8031003601,003601,0.0,38.0,83.0,112.0,160.0,200.0,236.0,272.0,0.0,38.0,83.0,112.0,160.0,200.0,236.0,272.0,544.0
492,4439,46563,428400,1236,3602,0.07,0.24,8031003602,003602,,,,,,,,,,,,,,,,,0.0
493,3421,49078,538700,1714,3603,0.03,0.11,8031003603,003603,,,,,,,,,,,,,,,,,0.0
494,3591,55062,630200,1232,3701,0.01,0.1,8031003701,003701,0.0,12.0,24.0,36.0,42.0,,,,0.0,12.0,24.0,36.0,42.0,,46.0,58.0,100.0
495,5027,46632,595300,1314,3702,0.04,0.1,8031003702,003702,,,,,,,,,,,,,,,,,0.0
496,3107,56132,593800,1288,3703,0.03,0.16,8031003703,003703,,,,,,,,,,,,,,,,,0.0
497,2959,61385,691800,1729,3801,0.03,0.05,8031003801,003801,0.0,24.0,48.0,72.0,90.0,94.0,101.0,109.0,0.0,12.0,24.0,36.0,48.0,52.0,59.0,67.0,176.0
498,3469,95500,1016800,2326,3802,0.07,0.04,8031003802,003802,,,,,,,,,,,,,,,,,0.0
499,4869,65470,915700,2090,3901,0.03,0.07,8031003901,003901,,,,,,,,,,,,,,,,,0.0
500,4215,75885,723700,1995,3902,0.05,0.05,8031003902,003902,0.0,12.0,20.0,,,,,,0.0,12.0,15.0,,,22.0,28.0,40.0,60.0
501,3325,56403,771300,2097,4002,0.01,0.03,8031004002,004002,0.0,14.0,32.0,56.0,80.0,104.0,128.0,149.0,0.0,26.0,53.0,89.0,117.0,141.0,168.0,198.0,347.0
502,4869,62488,443800,2129,4003,0.04,0.03,8031004003,004003,,,,,,,,,,,,,,,,,0.0
503,1890,46887,512600,1902,4004,0.02,0.08,8031004004,004004,,,,,,,,,,,,,,,,,0.0
