,tract,year,rec,med,dispensary_status,match_id
272,8005004951,2014,0.0,0.0,1.0,10.0
273,8005004951,2015,0.0,0.0,1.0,10.0
274,8005004951,2016,0.0,0.0,1.0,10.0
275,8005004951,2017,0.0,0.0,1.0,10.0
276,8005004951,2018,4.0,4.0,1.0,10.0
277,8005004951,2019,16.0,16.0,1.0,10.0
278,8005004951,2020,28.0,28.0,1.0,10.0
279,8005004951,2021,40.0,40.0,1.0,10.0
280,8005004952,2014,13.0,13.0,1.0,11.0
281,8005004952,2015,37.0,41.0,1.0,11.0
282,8005004952,2016,79.0,74.0,1.0,11.0
283,8005004952,2017,135.0,103.0,1.0,11.0
284,8005004952,2018,195.0,127.0,1.0,11.0
285,8005004952,2019,255.0,151.0,1.0,11.0
286,8005004952,2020,315.0,178.0,1.0,11.0
287,8005004952,2021,358.0,210.0,1.0,11.0
288,8005005551,2014,0.0,0.0,1.0,12.0
289,8005005551,2015,0.0,24.0,1.0,12.0
290,8005005551,2016,0.0,48.0,1.0,12.0
291,8005005551,2017,0.0,61.0,1.0,12.0
292,8005005551,2018,12.0,73.0,1.0,12.0
293,8005005551,2019,32.0,85.0,1.0,12.0
294,8005005551,2020,56.0,97.0,1.0,12.0
295,8005005551,2021,75.0,109.0,1.0,12.0
296,8005005553,2014,0.0,0.0,1.0,13.0
297,8005005553,2015,0.0,4.0,1.0,13.0
298,8005005553,2016,15.0,19.0,1.0,13.0
299,8005005553,2017,42.0,43.0,1.0,13.0
300,8005005553,2018,64.0,65.0,1.0,13.0
301,8005005553,2019,88.0,77.0,1.0,13.0
302,8005005553,2020,112.0,89.0,1.0,13.0
303,8005005553,2021,138.0,101.0,1.0,13.0
304,8005005611,2014,0.0,0.0,0.0,39.0
305,8005005611,2015,0.0,0.0,0.0,39.0
306,8005005611,2016,0.0,0.0,0.0,39.0
307,8005005611,2017,0.0,0.0,0.0,39.0
308,8005005611,2018,0.0,0.0,0.0,39.0
309,8005005611,2019,0.0,0.0,0.0,39.0
310,8005005611,2020,0.0,0.0,0.0,39.0
311,8005005611,2021,0.0,0.0,0.0,39.0
312,8005005612,2014,0.0,0.0,0.0,83.0
313,8005005612,2015,0.0,0.0,0.0,83.0
314,8005005612,2016,0.0,0.0,0.0,83.0
315,8005005612,2017,0.0,0.0,0.0,83.0
316,8005005612,2018,0.0,0.0,0.0,83.0
317,8005005612,2019,0.0,0.0,0.0,83.0
318,8005005612,2020,0.0,0.0,0.0,83.0
319,8005005612,2021,0.0,0.0,0.0,83.0
320,8005005621,2014,0.0,0.0,0.0,342.0
321,8005005621,2015,0.0,0.0,0.0,342.0
322,8005005621,2016,0.0,0.0,0.0,342.0
323,8005005621,2017,0.0,0.0,0.0,342.0
324,8005005621,2018,0.0,0.0,0.0,342.0
325,8005005621,2019,0.0,0.0,0.0,342.0
326,8005005621,2020,0.0,0.0,0.0,342.0
327,8005005621,2021,0.0,0.0,0.0,342.0
328,8005005629,2014,0.0,0.0,0.0,61.0
329,8005005629,2015,0.0,0.0,0.0,61.0
330,8005005629,2016,0.0,0.0,0.0,61.0
331,8005005629,2017,0.0,0.0,0.0,61.0
332,8005005629,2018,0.0,0.0,0.0,61.0
333,8005005629,2019,0.0,0.0,0.0,61.0
334,8005005629,2020,0.0,0.0,0.0,61.0
335,8005005629,2021,0.0,0.0,0.0,61.0
336,8005005701,2014,0.0,0.0,0.0,7.0
337,8005005701,2015,0.0,0.0,0.0,7.0
338,8005005701,2016,0.0,0.0,0.0,7.0
339,8005005701,2017,0.0,0.0,0.0,7.0
340,8005005701,2018,0.0,0.0,0.0,7.0
341,8005005701,2019,0.0,0.0,0.0,7.0
342,8005005701,2020,0.0,0.0,0.0,7.0
343,8005005701,2021,0.0,0.0,0.0,7.0
344,8005005701,2014,0.0,0.0,0.0,162.0
345,8005005701,2015,0.0,0.0,0.0,162.0
346,8005005701,2016,0.0,0.0,0.0,162.0
347,8005005701,2017,0.0,0.0,0.0,162.0
348,8005005701,2018,0.0,0.0,0.0,162.0
349,8005005701,2019,0.0,0.0,0.0,162.0
350,8005005701,2020,0.0,0.0,0.0,162.0
351,8005005701,2021,0.0,0.0,0.0,162.0
352,8005005701,2014,0.0,0.0,0.0,304.0
353,8005005701,2015,0.0,0.0,0.0,304.0
354,8005005701,2016,0.0,0.0,0.0,304.0
355,8005005701,2017,0.0,0.0,0.0,304.0
356,8005005701,2018,0.0,0.0,0.0,304.0
357,8005005701,2019,0.0,0.0,0.0,304.0
358,8005005701,2020,0.0,0.0,0.0,304.0
359,8005005701,2021,0.0,0.0,0.0,304.0
360,8005005702,2014,0.0,0.0,1.0,14.0
361,8005005702,2015,0.0,0.0,1.0,14.0
362,8005005702,2016,0.0,0.0,1.0,14.0
363,8005005702,2017,3.0,3.0,1.0,14.0
364,8005005702,2018,15.0,15.0,1.0,14.0
365,8005005702,2019,35.0,27.0,1.0,14.0
366,8005005702,2020,49.0,39.0,1.0,14.0
367,8005005702,2021,53.0,43.0,1.0,14.0
368,8005005951,2014,0.0,0.0,0.0,99.0
369,8005005951,2015,0.0,0.0,0.0,99.0
370,8005005951,2016,0.0,0.0,0.0,99.0
371,8005005951,2017,0.0,0.0,0.0,99.0
372,8005005951,2018,0.0,0.0,0.0,99.0
373,8005005951,2019,0.0,0.0,0.0,99.0
374,8005005951,2020,0.0,0.0,0.0,99.0
375,8005005951,2021,0.0,0.0,0.0,99.0
376,8005006300,2014,0.0,0.0,1.0,15.0
377,8005006300,2015,12.0,12.0,1.0,15.0
378,8005006300,2016,24.0,24.0,1.0,15.0
379,8005006300,2017,36.0,36.0,1.0,15.0
380,8005006300,2018,48.0,48.0,1.0,15.0
381,8005006300,2019,60.0,60.0,1.0,15.0
382,8005006300,2020,72.0,72.0,1.0,15.0
383,8005006300,2021,84.0,84.0,1.0,15.0
384,8005006400,2014,0.0,11.0,0.0,126.0
385,8005006400,2015,0.0,23.0,0.0,126.0
386,8005006400,2016,0.0,31.0,0.0,126.0
387,8005006400,2017,0.0,39.0,0.0,126.0
388,8005006400,2018,0.0,55.0,0.0,126.0
389,8005006400,2019,0.0,67.0,0.0,126.0
390,8005006400,2020,0.0,79.0,0.0,126.0
391,8005006400,2021,0.0,91.0,0.0,126.0
392,8005006400,2014,0.0,11.0,0.0,205.0
393,8005006400,2015,0.0,23.0,0.0,205.0
394,8005006400,2016,0.0,31.0,0.0,205.0
395,8005006400,2017,0.0,39.0,0.0,205.0
396,8005006400,2018,0.0,55.0,0.0,205.0
397,8005006400,2019,0.0,67.0,0.0,205.0
398,8005006400,2020,0.0,79.0,0.0,205.0
399,8005006400,2021,0.0,91.0,0.0,205.0
400,8005006501,2014,0.0,0.0,1.0,16.0
401,8005006501,2015,0.0,12.0,1.0,16.0
402,8005006501,2016,0.0,24.0,1.0,16.0
403,8005006501,2017,0.0,33.0,1.0,16.0
404,8005006501,2018,8.0,41.0,1.0,16.0
405,8005006501,2019,20.0,53.0,1.0,16.0
406,8005006501,2020,32.0,65.0,1.0,16.0
407,8005006501,2021,40.0,73.0,1.0,16.0
408,8005006502,2014,0.0,0.0,0.0,277.0
409,8005006502,2015,0.0,0.0,0.0,277.0
410,8005006502,2016,0.0,0.0,0.0,277.0
411,8005006502,2017,0.0,0.0,0.0,277.0
412,8005006502,2018,0.0,0.0,0.0,277.0
413,8005006502,2019,0.0,0.0,0.0,277.0
414,8005006502,2020,0.0,0.0,0.0,277.0
415,8005006502,2021,0.0,0.0,0.0,277.0
416,8005006604,2014,0.0,0.0,1.0,17.0
417,8005006604,2015,0.0,12.0,1.0,17.0
418,8005006604,2016,0.0,29.0,1.0,17.0
419,8005006604,2017,3.0,44.0,1.0,17.0
420,8005006604,2018,15.0,68.0,1.0,17.0
421,8005006604,2019,27.0,92.0,1.0,17.0
422,8005006604,2020,39.0,105.0,1.0,17.0
423,8005006604,2021,51.0,117.0,1.0,17.0
424,8005006709,2014,0.0,0.0,0.0,190.0
425,8005006709,2015,0.0,0.0,0.0,190.0
426,8005006709,2016,0.0,0.0,0.0,190.0
427,8005006709,2017,0.0,0.0,0.0,190.0
428,8005006709,2018,0.0,0.0,0.0,190.0
429,8005006709,2019,0.0,0.0,0.0,190.0
430,8005006709,2020,0.0,0.0,0.0,190.0
431,8005006709,2021,0.0,0.0,0.0,190.0
432,8005006808,2014,0.0,0.0,0.0,143.0
433,8005006808,2015,0.0,0.0,0.0,143.0
434,8005006808,2016,0.0,0.0,0.0,143.0
435,8005006808,2017,0.0,0.0,0.0,143.0
436,8005006808,2018,0.0,0.0,0.0,143.0
437,8005006808,2019,0.0,0.0,0.0,143.0
438,8005006808,2020,0.0,0.0,0.0,143.0
439,8005006808,2021,0.0,0.0,0.0,143.0
440,8005006815,2014,0.0,0.0,0.0,170.0
441,8005006815,2015,0.0,0.0,0.0,170.0
442,8005006815,2016,0.0,0.0,0.0,170.0
443,8005006815,2017,0.0,0.0,0.0,170.0
444,8005006815,2018,0.0,0.0,0.0,170.0
445,8005006815,2019,0.0,0.0,0.0,170.0
446,8005006815,2020,0.0,0.0,0.0,170.0
447,8005006815,2021,0.0,0.0,0.0,170.0
448,8005006857,2014,0.0,0.0,0.0,65.0
449,8005006857,2015,0.0,0.0,0.0,65.0
450,8005006857,2016,0.0,0.0,0.0,65.0
451,8005006857,2017,0.0,0.0,0.0,65.0
452,8005006857,2018,0.0,0.0,0.0,65.0
453,8005006857,2019,0.0,0.0,0.0,65.0
454,8005006857,2020,0.0,0.0,0.0,65.0
455,8005006857,2021,0.0,0.0,0.0,65.0
456,8005006859,2014,0.0,0.0,0.0,267.0
457,8005006859,2015,0.0,0.0,0.0,267.0
458,8005006859,2016,0.0,0.0,0.0,267.0
459,8005006859,2017,0.0,0.0,0.0,267.0
460,8005006859,2018,0.0,0.0,0.0,267.0
461,8005006859,2019,0.0,0.0,0.0,267.0
462,8005006859,2020,0.0,0.0,0.0,267.0
463,8005006859,2021,0.0,0.0,0.0,267.0
464,8005006860,2014,0.0,0.0,0.0,53.0
465,8005006860,2015,0.0,0.0,0.0,53.0
466,8005006860,2016,0.0,0.0,0.0,53.0
467,8005006860,2017,0.0,0.0,0.0,53.0
468,8005006860,2018,0.0,0.0,0.0,53.0
469,8005006860,2019,0.0,0.0,0.0,53.0
470,8005006860,2020,0.0,0.0,0.0,53.0
471,8005006860,2021,0.0,0.0,0.0,53.0
472,8005006860,2014,0.0,0.0,0.0,72.0
473,8005006860,2015,0.0,0.0,0.0,72.0
474,8005006860,2016,0.0,0.0,0.0,72.0
475,8005006860,2017,0.0,0.0,0.0,72.0
476,8005006860,2018,0.0,0.0,0.0,72.0
477,8005006860,2019,0.0,0.0,0.0,72.0
478,8005006860,2020,0.0,0.0,0.0,72.0
479,8005006860,2021,0.0,0.0,0.0,72.0
480,8005007109,2014,0.0,0.0,0.0,323.0
481,8005007109,2015,0.0,0.0,0.0,323.0
482,8005007109,2016,0.0,0.0,0.0,323.0
483,8005007109,2017,0.0,0.0,0.0,323.0
484,8005007109,2018,0.0,0.0,0.0,323.0
485,8005007109,2019,0.0,0.0,0.0,323.0
486,8005007109,2020,0.0,0.0,0.0,323.0
487,8005007109,2021,0.0,0.0,0.0,323.0
488,8005007110,2014,0.0,0.0,0.0,359.0
489,8005007110,2015,0.0,0.0,0.0,359.0
490,8005007110,2016,0.0,0.0,0.0,359.0
491,8005007110,2017,0.0,0.0,0.0,359.0
492,8005007110,2018,0.0,0.0,0.0,359.0
493,8005007110,2019,0.0,0.0,0.0,359.0
494,8005007110,2020,0.0,0.0,0.0,359.0
495,8005007110,2021,0.0,0.0,0.0,359.0
496,8005007111,2014,0.0,0.0,0.0,26.0
497,8005007111,2015,0.0,0.0,0.0,26.0
498,8005007111,2016,0.0,0.0,0.0,26.0
499,8005007111,2017,0.0,0.0,0.0,26.0
500,8005007111,2018,0.0,0.0,0.0,26.0
501,8005007111,2019,0.0,0.0,0.0,26.0
502,8005007111,2020,0.0,0.0,0.0,26.0
503,8005007111,2021,0.0,0.0,0.0,26.0
504,8005007111,2014,0.0,0.0,0.0,321.0
505,8005007111,2015,0.0,0.0,0.0,321.0
506,8005007111,2016,0.0,0.0,0.0,321.0
507,8005007111,2017,0.0,0.0,0.0,321.0
508,8005007111,2018,0.0,0.0,0.0,321.0
509,8005007111,2019,0.0,0.0,0.0,321.0
510,8005007111,2020,0.0,0.0,0.0,321.0
511,8005007111,2021,0.0,0.0,0.0,321.0
512,8005007201,2014,0.0,0.0,0.0,337.0
513,8005007201,2015,12.0,0.0,0.0,337.0
514,8005007201,2016,24.0,0.0,0.0,337.0
515,8005007201,2017,36.0,0.0,0.0,337.0
516,8005007201,2018,48.0,0.0,0.0,337.0
517,8005007201,2019,60.0,0.0,0.0,337.0
518,8005007201,2020,72.0,0.0,0.0,337.0
519,8005007201,2021,82.0,0.0,0.0,337.0
520,8005007500,2014,0.0,0.0,0.0,358.0
521,8005007500,2015,0.0,0.0,0.0,358.0
522,8005007500,2016,0.0,0.0,0.0,358.0
523,8005007500,2017,0.0,0.0,0.0,358.0
524,8005007500,2018,0.0,0.0,0.0,358.0
525,8005007500,2019,0.0,0.0,0.0,358.0
526,8005007500,2020,0.0,0.0,0.0,358.0
527,8005007500,2021,0.0,0.0,0.0,358.0
528,8005007702,2014,0.0,0.0,0.0,233.0
529,8005007702,2015,0.0,0.0,0.0,233.0
530,8005007702,2016,0.0,0.0,0.0,233.0
531,8005007702,2017,0.0,0.0,0.0,233.0
532,8005007702,2018,0.0,0.0,0.0,233.0
533,8005007702,2019,0.0,0.0,0.0,233.0
534,8005007702,2020,0.0,0.0,0.0,233.0
