,tract,year,rec,med,dispensary_status,match_id,population,income,house_value,rent,unemployment,poverty
181,8001009320,2019,39.0,42.0,1.0,6.0,2643.0,29203.0,97600.0,1183.0,0.04,0.1
182,8001009320,2020,61.0,64.0,1.0,6.0,2823.0,31624.0,116300.0,1245.0,0.04,0.16
183,8001009320,2021,78.0,81.0,1.0,6.0,3002.0,33024.0,157700.0,1399.0,0.05,0.2
184,8001009323,2014,0.0,0.0,1.0,7.0,3981.0,26447.0,199600.0,902.0,0.09,0.12
185,8001009323,2015,1.0,1.0,1.0,7.0,3935.0,26900.0,209500.0,922.0,0.09,0.12
186,8001009323,2016,4.0,4.0,1.0,7.0,3946.0,28237.0,230300.0,988.0,0.07,0.12
187,8001009323,2017,16.0,16.0,1.0,7.0,3923.0,29203.0,241300.0,1057.0,0.04,0.09
188,8001009323,2018,32.0,28.0,1.0,7.0,4004.0,31170.0,271800.0,1158.0,0.04,0.08
189,8001009323,2019,54.0,40.0,1.0,7.0,3837.0,31545.0,298300.0,1230.0,0.04,0.08
190,8001009323,2020,78.0,52.0,1.0,7.0,3952.0,35308.0,340400.0,1356.0,0.04,0.09
191,8001009323,2021,110.0,72.0,1.0,7.0,3782.0,35192.0,366600.0,1392.0,0.04,0.15
192,8001009411,2014,0.0,0.0,0.0,330.0,3076.0,41932.0,255300.0,1588.0,0.06,0.03
193,8001009411,2015,0.0,0.0,0.0,330.0,2990.0,38176.0,269100.0,1593.0,0.07,0.06
194,8001009411,2016,0.0,0.0,0.0,330.0,3163.0,36267.0,291200.0,1687.0,0.05,0.07
195,8001009411,2017,0.0,0.0,0.0,330.0,3029.0,39260.0,306400.0,1722.0,0.05,0.07
196,8001009411,2018,0.0,0.0,0.0,330.0,3054.0,39798.0,336900.0,1757.0,0.05,0.09
197,8001009411,2019,0.0,0.0,0.0,330.0,2974.0,42461.0,367800.0,1791.0,0.04,0.1
198,8001009411,2020,0.0,0.0,0.0,330.0,3083.0,44891.0,388800.0,1799.0,0.03,0.08
199,8001009411,2021,0.0,0.0,0.0,330.0,3064.0,50081.0,418100.0,1907.0,0.02,0.08
200,8001009502,2014,0.0,0.0,0.0,232.0,4375.0,25219.0,160500.0,1256.0,0.14,0.14
201,8001009502,2015,0.0,0.0,0.0,232.0,4452.0,24110.0,163200.0,1181.0,0.11,0.18
202,8001009502,2016,0.0,0.0,0.0,232.0,4342.0,24375.0,183100.0,1193.0,0.06,0.13
203,8001009502,2017,0.0,0.0,0.0,232.0,4439.0,29367.0,220500.0,1428.0,0.07,0.15
204,8001009502,2018,0.0,0.0,0.0,232.0,4809.0,31678.0,264800.0,1677.0,0.06,0.1
205,8001009502,2019,0.0,0.0,0.0,232.0,4977.0,33853.0,325000.0,1711.0,0.04,0.11
206,8001009502,2020,0.0,0.0,0.0,232.0,5008.0,35232.0,359900.0,1890.0,0.04,0.05
207,8001009502,2021,0.0,0.0,0.0,232.0,4869.0,39767.0,382900.0,2099.0,0.02,0.06
208,8001009553,2014,0.0,0.0,0.0,24.0,3027.0,23161.0,171300.0,716.0,0.1,0.19
209,8001009553,2015,0.0,0.0,0.0,24.0,2989.0,21558.0,169000.0,640.0,0.1,0.23
210,8001009553,2016,0.0,0.0,0.0,24.0,3137.0,21891.0,192100.0,730.0,0.05,0.28
211,8001009553,2017,0.0,0.0,0.0,24.0,3284.0,24021.0,212300.0,957.0,0.05,0.17
212,8001009553,2018,0.0,0.0,0.0,24.0,3728.0,26259.0,251900.0,1053.0,0.04,0.17
213,8001009553,2019,0.0,0.0,0.0,24.0,3760.0,30735.0,281500.0,994.0,0.02,0.14
214,8001009553,2020,0.0,0.0,0.0,24.0,3655.0,37500.0,447600.0,1063.0,0.02,0.11
215,8001009553,2021,0.0,0.0,0.0,24.0,3576.0,38198.0,419500.0,1121.0,0.04,0.1
216,8001009603,2014,0.0,0.0,0.0,202.0,5760.0,25528.0,164700.0,910.0,0.1,0.18
217,8001009603,2015,0.0,0.0,0.0,202.0,5849.0,26260.0,169000.0,1014.0,0.09,0.14
218,8001009603,2016,0.0,0.0,0.0,202.0,6021.0,26444.0,176600.0,1057.0,0.08,0.12
219,8001009603,2017,0.0,0.0,0.0,202.0,6395.0,26509.0,200100.0,1121.0,0.05,0.15
220,8001009603,2018,0.0,0.0,0.0,202.0,6645.0,29204.0,217700.0,1255.0,0.04,0.17
221,8001009603,2019,0.0,0.0,0.0,202.0,6273.0,27178.0,237400.0,1262.0,0.03,0.17
222,8001009603,2020,0.0,0.0,0.0,202.0,6373.0,28924.0,272400.0,1235.0,0.07,0.16
223,8001009603,2021,0.0,0.0,0.0,202.0,6547.0,30493.0,299600.0,1361.0,0.07,0.17
224,8001009606,2014,0.0,0.0,0.0,56.0,2763.0,20316.0,150400.0,826.0,0.12,0.35
225,8001009606,2015,0.0,0.0,0.0,56.0,2867.0,17599.0,142100.0,809.0,0.09,0.31
