,tract,dispensary_status,matched_tract
636,8101002906,0,8019014702
637,8101002906,0,8097000404
638,8101002911,0,8107000500
639,8101002912,1,8105977002
640,8101002914,1,8091967601
641,8101002920,1,8041002200
642,8101002922,0,8059010406
643,8101002923,1,8075966101
644,8101003001,0,8059011401
645,8101003001,0,8081000400
646,8101003004,1,8059009901
647,8101003103,1,8005007111
648,8101003104,1,8125963200
649,8101003105,1,8005007109
650,8101003500,1,8101001400
651,8105976800,0,8005087302
652,8105976800,0,8013012207
653,8105977002,0,8041002802
654,8105977002,0,8101002912
655,8107000100,1,8029965002
656,8107000200,1,8123002018
657,8107000300,1,8059010305
658,8107000400,1,8085966602
659,8107000500,1,8101002911
660,8107000600,1,8001009411
661,8107000701,1,8119010104
662,8107000703,1,8101002500
663,8107000800,1,8059011602
664,8109977600,1,8101001600
665,8111972600,1,8101000905
666,8113968101,1,8041003706
667,8113968102,0,8031004503
668,8113968102,0,8071000100
669,8113968102,0,8081000600
670,8113968102,0,8099000600
671,8113968102,0,8101000400
672,8115968300,1,8005007201
673,8117000101,1,8031004407
674,8117000102,1,8035014146
675,8117000201,1,8013012609
676,8117000202,1,8085966301
677,8117000203,1,8005005621
678,8117000301,1,8059010702
679,8117000302,1,8059009855
680,8117000403,1,8005086400
681,8117000404,1,8059009839
682,8117000406,1,8045952001
683,8119010104,0,8045951702
684,8119010104,0,8101002801
685,8119010104,0,8107000701
686,8121924100,0,8033000100
687,8121924100,0,8097000102
688,8123000100,1,8101001400
689,8123000200,1,8031004504
690,8123000300,1,8059011602
691,8123000401,1,8031004505
692,8123000402,1,8051963900
693,8123000502,1,8041006100
694,8123000600,1,8013060602
695,8123000701,1,8123001003
696,8123000703,1,8007940400
697,8123000705,1,8077000900
698,8123000800,1,8005007500
699,8123001003,0,8071000400
700,8123001003,0,8123000701
701,8123001004,0,8031003501
702,8123001006,0,8031003601
703,8123001300,0,8031004302
704,8123001408,0,8093000400
705,8123001411,0,8041000600
706,8123001416,0,8069002801
707,8123001417,0,8005086900
708,8123001500,1,8005007110
709,8123001800,1,8005084800
710,8123001906,0,8005004951
711,8123001906,0,8031002404
712,8123001906,0,8049000203
713,8123001910,0,8031001000
714,8123002004,0,8041004601
715,8123002005,0,8031003202
716,8123002005,0,8031005200
717,8123002008,0,8031008312
718,8123002014,0,8031002102
719,8123002018,0,8107000200
720,8123002101,1,8039961204
721,8123002207,0,8059011708
722,8123002209,0,8059010504
723,8123002300,1,8031004801
724,8123002501,0,8087000500
725,8125963200,0,8101003104
