,population,income,house_value,rent,unemployment,poverty,dispensary_status,scores,match_id,record_id
1156,3770,36394,340200,1379,0.07,0.19,1,0.6525050646858414,76,1156
429,5414,23412,318400,1711,0.1,0.23,0,0.6522437062234916,76,429
1157,5362,25987,343800,852,0.04,0.18,1,0.5523540592102073,77,1157
579,5088,29657,158700,1265,0.09,0.16,0,0.5524000966689981,77,579
956,1233,37034,564300,1670,0.03,0.02,0,0.49686995996958844,78,956
1158,3339,48645,434000,1697,0.04,0.09,1,0.49683569609729317,78,1158
1159,4005,29523,357600,1341,0.07,0.21,1,0.6745679106504405,79,1159
253,1450,31372,283300,1075,0.1,0.12,0,0.6732633514268902,79,253
1160,2633,70860,595100,1911,0.06,0.1,1,0.5432001467844197,80,1160
665,3650,28060,162600,647,0.04,0.12,0,0.5431556003263032,80,665
1161,5816,49230,519000,1745,0.09,0.24,1,0.6277248828974847,81,1161
921,2206,41118,488000,1563,0.13,0.11,0,0.6276405727226747,81,921
1162,2397,55804,676300,1354,0.04,0.21,1,0.719642951785489,82,1162
277,2097,37292,614100,2596,0.13,0.17,0,0.7199077186899331,82,277
104,3510,41489,1050800,1347,0.01,0.05,0,0.41591168787049676,83,104
1163,3118,78686,868700,2223,0.02,0.05,1,0.41586436534357796,83,1163
1164,2191,49988,593100,1777,0.08,0.13,1,0.6341596563999623,84,1164
695,858,32344,338600,838,0.04,0.09,0,0.6342287968635741,84,695
1165,3195,36074,391700,1254,0.08,0.22,1,0.7233844332138627,85,1165
959,2083,25545,187500,776,0.04,0.19,0,0.7235720827079051,85,959
1166,3371,33389,521400,1431,0.05,0.28,1,0.7803386624785346,86,1166
629,4706,23232,149300,1104,0.08,0.31,0,0.778661020191616,86,629
1167,2812,78151,690600,1959,0.03,0.09,1,0.5004959219492843,87,1167
32,6145,35620,382300,1691,0.07,0.17,0,0.501229118436227,87,32
1168,3408,53302,464700,1389,0.03,0.11,1,0.5185180460420671,88,1168
576,3448,61443,-666666666,1804,0.1,0.04,0,0.5186419372923009,88,576
1169,3030,57899,511200,1713,0.0,0.04,1,0.4099078017774018,89,1169
1054,2846,36178,348300,1573,0.02,0.02,0,0.4099729209270057,89,1054
683,5660,37702,184800,1138,0.05,0.11,0,0.4199776237636993,90,683
1170,4793,62511,516200,922,0.02,0.1,1,0.4200984407197709,90,1170
1171,1353,49219,617500,1626,0.0,0.19,1,0.7277876838350162,91,1171
1037,1656,26429,327700,1574,0.0,0.19,0,0.7273835063278424,91,1037
1172,3900,51182,550200,1471,0.08,0.21,1,0.6698514386631365,92,1172
708,2486,36250,-666666666,1638,0.06,0.11,0,0.6709995379653954,92,708
1173,2907,59232,456600,1735,0.02,0.1,1,0.5203559406549033,93,1173
381,3421,49078,538700,1714,0.03,0.11,0,0.5206678843310243,93,381
1174,1997,32818,-666666666,1133,0.05,0.11,1,0.691102907925837,94,1174
969,2598,23826,109700,968,0.04,0.18,0,0.6887934424473143,94,969
777,4454,38766,274500,1739,0.05,0.12,0,0.49805861784306005,95,777
1175,3061,55431,444600,1439,0.02,0.09,1,0.49857903132236026,95,1175
1176,2854,61360,511700,1599,0.01,0.07,1,0.46879086608914966,96,1176
950,4275,34512,455700,1173,0.03,0.1,0,0.46947016723854923,96,950
1177,4356,52843,467500,1313,0.05,0.11,1,0.4774347986647186,97,1177
48,5882,25296,269500,1114,0.04,0.15,0,0.4770505191167475,97,48
1178,1964,57194,365900,1335,0.01,0.07,1,0.5181659441571188,98,1178
821,3797,36046,490200,1628,0.05,0.11,0,0.5180033670666404,98,821
1179,3465,56425,539900,1650,0.03,0.08,1,0.4646285926900731,99,1179
126,4234,38955,376700,968,0.02,0.1,0,0.46453232008299444,99,126
529,2188,44514,434300,1164,0.04,0.06,0,0.511071668781384,100,529
1180,2713,53535,593000,1671,0.04,0.08,1,0.5100455174269112,100,1180
817,5658,50858,377300,1628,0.05,0.04,0,0.30711507616312883,101,817
1181,6786,42079,587600,1346,0.06,0.07,1,0.3069500853863344,101,1181
1182,3120,81858,663000,2439,0.03,0.06,1,0.43369430481098653,102,1182
238,4078,43032,363300,2082,0.01,0.08,0,0.4336045993389765,102,238
1183,3493,66859,708200,1861,0.01,0.08,1,0.4480616275048017,103,1183
501,2346,65352,667700,1700,0.02,0.04,0,0.4481801993024623,103,501
1184,3754,45644,637900,1137,0.03,0.16,1,0.5860137070730107,104,1184
539,3134,29067,267200,875,0.04,0.13,0,0.5850504461429566,104,539
1185,3432,49163,416700,1559,0.04,0.07,1,0.4591197740517588,105,1185
1045,1343,72500,455100,1875,0.01,0.02,0,0.45923761288045784,105,1045
733,2448,22708,647800,1353,0.05,0.09,0,0.5646005052569592,106,733
1186,2279,35988,381100,1293,0.09,0.08,1,0.5648324564880962,106,1186
1187,4747,81135,940900,2680,0.05,0.02,1,0.30338002164396644,107,1187
653,2695,68140,760400,-666666666,0.16,0.01,0,0.3034539584360096,107,653
1188,3070,26076,324100,1220,0.04,0.26,1,0.7695498415211509,108,1188
1013,3856,22188,206100,1070,0.05,0.28,0,0.7679924610526147,108,1013
1189,3642,32736,295300,1217,0.03,0.11,1,0.520102101428391,109,1189
381,3421,49078,538700,1714,0.03,0.11,0,0.5206678843310243,109,381
1190,4498,41289,455800,1352,0.06,0.15,1,0.5468730665232073,110,1190
1015,4991,27110,246600,1246,0.06,0.16,0,0.5468646271198759,110,1015
1191,3591,55062,630200,1232,0.01,0.1,1,0.4831907631982515,111,1191
938,3976,25580,174500,684,0.05,0.09,0,0.48313727971279613,111,938
222,2838,40472,388600,1625,0.02,0.04,0,0.4392513141007794,112,222
1192,2959,61385,691800,1729,0.03,0.05,1,0.4392152034306658,112,1192
1193,4215,75885,723700,1995,0.05,0.05,1,0.3747183650119083,113,1193
869,4033,41149,445800,1760,0.05,0.03,0,0.37470964836395937,113,869
1194,3325,56403,771300,2097,0.01,0.03,1,0.3843953069587775,114,1194
473,3562,50897,473300,2468,0.03,0.03,0,0.38396649397380117,114,473
1195,4605,39002,372800,1254,0.03,0.16,1,0.5466862273231683,115,1195
848,5980,28596,425700,1458,0.03,0.2,0,0.5466413443052581,115,848
1196,4404,27427,422200,1729,0.1,0.18,1,0.6238094069929582,116,1196
572,5175,35158,221400,1343,0.05,0.22,0,0.6226095536631203,116,572
54,4506,39893,319100,1627,0.01,0.02,0,0.32340474040498873,117,54
1197,5018,66977,692100,1090,0.08,0.03,1,0.32374582820251974,117,1197
1198,4669,71709,826300,1406,0.05,0.05,1,0.35518166381772187,118,1198
547,5328,31800,225700,970,0.03,0.06,0,0.3553396746415353,118,547
1199,2935,49511,627800,1301,0.02,0.04,1,0.4282292423600771,119,1199
1019,7212,31597,192100,1361,0.06,0.16,0,0.4282662131566621,119,1019
1200,3999,55428,469600,1422,0.03,0.06,1,0.40581504322163253,120,1200
447,4257,41559,335800,1665,0.04,0.06,0,0.4057568522878771,120,447
1201,4124,39133,370600,1480,0.07,0.05,1,0.4103585421806486,121,1201
526,3475,52990,541400,2509,0.01,0.05,0,0.41023226698665644,121,526
994,1807,36579,942100,798,0.04,0.19,0,0.7290923419927612,122,994
1202,5108,32134,243400,1250,0.02,0.3,1,0.7283788769649199,122,1202
4,1538,30441,-666666666,1815,0.03,0.23,0,0.8364417956393964,123,4
